fragmentationMode	lipidClass	additional_element	neutral_loss	diagnostic	countOfChains	countOfStandardAcylsChains	containsHydroxy	sialic	acylChain.AcylChainType	acylChain.NumCarbons	acylChain.NumDoubleBonds	acylChain.HydroxyPosition	C	H	N	O	P	S	desc	target_acylChains
Positive	Cer		0	0					Hydroxy				X	2X-2Y+2	1	2	0	0	FA short	
Positive	CerH2O		0	0					Hydroxy				X	2X-2Y+2	1	2	0	0	FA short	
Positive	Cer2H2O		0	0					Hydroxy				X	2X-2Y+2	1	2	0	0	FA short	
Positive	GlcCer		0	0					Hydroxy				X	2X-2Y+2	1	2	0	0	FA short	
Positive	GalCer		0	0					Hydroxy				X	2X-2Y+2	1	2	0	0	FA short	
Positive	LacCer		0	0					Hydroxy				X	2X-2Y+2	1	2	0	0	FA short	
Positive	CerP		0	0					Hydroxy				X	2X-2Y+2	1	2	0	0	FA short	
Positive	SM		0	0					Hydroxy				X	2X-2Y+2	1	2	0	0	FA short	
Positive	PE_Cer		0	0					Hydroxy				X	2X-2Y+2	1	2	0	0	FA short	
Positive	PI_Cer		0	0					Hydroxy				X	2X-2Y+2	1	2	0	0	FA short	
Positive	Cer		0	0					Trihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	CerH2O		0	0					Trihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	Cer2H2O		0	0					Trihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	GlcCer		0	0					Trihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	GalCer		0	0					Trihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	LacCer		0	0					Trihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	CerP		0	0					Trihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	SM		0	0					Trihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	PE_Cer		0	0					Trihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	PI_Cer		0	0					Trihydro				X	2X-2Y	1	0	0	0	LCB	
Positive	Cer		0	0					Trihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	CerH2O		0	0					Trihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	Cer2H2O		0	0					Trihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	GlcCer		0	0					Trihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	GalCer		0	0					Trihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	LacCer		0	0					Trihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	CerP		0	0					Trihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	SM		0	0					Trihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	PE_Cer		0	0					Trihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	PI_Cer		0	0					Trihydro				X	2X-2Y+2	1	1	0	0	LCB+H2O	
Positive	Cer		0	0					Trihydro				X	2X-2Y+4	1	2	0	0	LCB+2(H2O)	
Positive	CerH2O		0	0					Trihydro				X	2X-2Y+4	1	2	0	0	LCB+2(H2O)	
Positive	Cer2H2O		0	0					Trihydro				X	2X-2Y+4	1	2	0	0	LCB+2(H2O)	
Positive	GlcCer		0	0					Trihydro				X	2X-2Y+4	1	2	0	0	LCB+2(H2O)	
Positive	GalCer		0	0					Trihydro				X	2X-2Y+4	1	2	0	0	LCB+2(H2O)	
Positive	LacCer		0	0					Trihydro				X	2X-2Y+4	1	2	0	0	LCB+2(H2O)	
Positive	CerP		0	0					Trihydro				X	2X-2Y+4	1	2	0	0	LCB+2(H2O)	
Positive	SM		0	0					Trihydro				X	2X-2Y+4	1	2	0	0	LCB+2(H2O)	
Positive	PE_Cer		0	0					Trihydro				X	2X-2Y+4	1	2	0	0	LCB+2(H2O)	
Positive	PI_Cer		0	0					Trihydro				X	2X-2Y+4	1	2	0	0	LCB+2(H2O)	
Positive	SM		0	0	2								X	2X-2Y	1	2	0	0	both chains	1,2
Positive	SM		0	0	2								X	2X-2Y-2	1	1	0	0	both chains - H2O	1,2
Positive	GlcCer		0	0	2								X	2X-2Y-2	1	1	0	0	both chains - H2O	1,2
Positive	GalCer		0	0	2								X	2X-2Y-2	1	1	0	0	both chains - H2O	1,2
Positive	LacCer		0	0	2								X	2X-2Y-2	1	1	0	0	both chains - H2O	1,2
Positive	CerP		0	0	2								X	2X-2Y-2	1	1	0	0	both chains - H2O	1,2
Positive	PE_Cer		0	0	2								X	2X-2Y-2	1	1	0	0	both chains - H2O	1,2
Positive	PI_Cer		0	0	2								X	2X-2Y-2	1	1	0	0	both chains - H2O	1,2
Positive	PE_Cer		0	0	1								18	39	1	5	1	0	S-1-P (C18H39NO5P)	
Positive	PI_Cer		0	0	1								18	39	1	5	1	0	S-1-P (C18H39NO5P)	
Positive	PE_Cer		0	0	1								18	37	1	4	1	0	S-1-P (-H2O)	
Positive	PI_Cer		0	0	1								18	37	1	4	1	0	S-1-P (-H2O)	
Positive	PE_Cer		0	0	1								X	2X-2Y-3	0	0	0	0	LCB-NH3	1
Positive	PI_Cer		0	0	1								X	2X-2Y-3	0	0	0	0	LCB-NH3	1
Positive	PE_Cer		0	0	1								2	9	1	4	1	0	C2H9NO4P	
Positive	Cer		1	0	1				Monohydro				0	0	0	0	0	0	M+H	
Positive	CerH2O		1	0	1				Monohydro				0	0	0	0	0	0	M+H	
Positive	Cer2H2O		1	0	1				Monohydro				0	0	0	0	0	0	M+H	
Positive	GlcCer		1	0	1				Monohydro				0	0	0	0	0	0	M+H	
Positive	GalCer		1	0	1				Monohydro				0	0	0	0	0	0	M+H	
Positive	LacCer		1	0	1				Monohydro				0	0	0	0	0	0	M+H	
Positive	CerP		1	0	1				Monohydro				0	0	0	0	0	0	M+H	
Positive	SM		1	0	1				Monohydro				0	0	0	0	0	0	M+H	
Positive	Cer		1	0	1								0	0	0	0	0	0	M+H	
Positive	CerH2O		1	0	1								0	0	0	0	0	0	M+H	
Positive	Cer2H2O		1	0	1								0	0	0	0	0	0	M+H	
Positive	GlcCer		1	0	1								0	0	0	0	0	0	M+H	
Positive	GalCer		1	0	1								0	0	0	0	0	0	M+H	
Positive	LacCer		1	0	1								0	0	0	0	0	0	M+H	
Positive	CerP		1	0	1								0	0	0	0	0	0	M+H	
Positive	SM		1	0	1								0	0	0	0	0	0	M+H	
Positive	Cer		1	0	1								2	6	0	2	0	0	M-H2O-H2CO-CH2	
Positive	CerH2O		1	0	1								2	6	0	2	0	0	M-H2O-H2CO-CH2	
Positive	Cer2H2O		1	0	1								2	6	0	2	0	0	M-H2O-H2CO-CH2	
Positive	GlcCer		1	0	1								2	6	0	2	0	0	M-H2O-H2CO-CH2	
Positive	GalCer		1	0	1								2	6	0	2	0	0	M-H2O-H2CO-CH2	
Positive	LacCer		1	0	1								2	6	0	2	0	0	M-H2O-H2CO-CH2	
Positive	CerP		1	0	1								2	6	0	2	0	0	M-H2O-H2CO-CH2	
Positive	SM		1	0	1								2	6	0	2	0	0	M-H2O-H2CO-CH2	
Positive	Cer		1	0	1								1	4	0	1	0	0	M-H2O-CH2	
Positive	CerH2O		1	0	1								1	4	0	1	0	0	M-H2O-CH2	
Positive	Cer2H2O		1	0	1								1	4	0	1	0	0	M-H2O-CH2	
Positive	GlcCer		1	0	1								1	4	0	1	0	0	M-H2O-CH2	
Positive	GalCer		1	0	1								1	4	0	1	0	0	M-H2O-CH2	
Positive	LacCer		1	0	1								1	4	0	1	0	0	M-H2O-CH2	
Positive	CerP		1	0	1								1	4	0	1	0	0	M-H2O-CH2	
Positive	SM		1	0	1								1	4	0	1	0	0	M-H2O-CH2	
Positive	Cholesterol		0	1									27	45	0	0	0	0	C27H45	
Positive	CE		0	1									27	45	0	0	0	0	C27H45	
Positive	CE		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	WE		1	0									0	2	0	1	0	0	M-H2O	
Positive	WE		0	0									X	2X-2Y+1	0	2	0	0	FA+H2O / Fatty alcohol	2
Positive	WE		0	0									X	2X-2Y-1	0	1	0	0	FA	2
Positive	Ubiquinone		0	0									10	13	0	4	0	0	C10H13O4	
Positive	MG		1	0									0	3	1	0	0	0	M-NH3	
Positive	DG		1	0									0	3	1	0	0	0	M-NH3	
Positive	TG		1	0									0	3	1	0	0	0	M-NH3	
Positive	MG		1	0									0	5	1	1	0	0	M-NH3-H2O	
Positive	DG		1	0									0	5	1	1	0	0	M-NH3-H2O	
Positive	TG		1	0									0	5	1	1	0	0	M-NH3-H2O	
Positive	MG		0	0					All				X	2X-2Y-1	0	1	0	0	FA	
Positive	DG		0	0					All				X	2X-2Y-1	0	1	0	0	FA	
Positive	TG		0	0					All				X	2X-2Y-1	0	1	0	0	FA	
Positive	MG		0	0					All				X+3	2X-2Y+3	0	2	0	0	[RCOO+58]-H2O	
Positive	DG		0	0					All				X+3	2X-2Y+3	0	2	0	0	[RCOO+58]-H2O	
Positive	TG		0	0					All				X+3	2X-2Y+3	0	2	0	0	[RCOO+58]-H2O	
Positive	DG		1	0					All				X	2X-2Y+3	1	2	0	0	M-RCOOH-NH3	
Positive	MG		0	0					All				X+3	2X-2Y+5	0	3	0	0	[RCOO+58]	
Positive	TG		0	0					All				X+3	2X-2Y+5	0	3	0	0	[RCOO+58]	
Positive	MG		1	0					All				X	2X-2Y+3	1	2	0	0	M-RCOOH-NH3	
Positive	TG		1	0					All				X	2X-2Y+3	1	2	0	0	M-RCOOH-NH3	
Positive	MGDG		1	1									6	11	0	6	0	0	M-C6H11O6	
Positive	MGDG		1	0									6	13	0	7	0	0	M-C6H13O7 / DAG	
Positive	SQDG		1	1									6	15	1	8	0	1	M-C6H11O8SNH4 / DAG	
Positive	SQDG		1	0									6	11	0	8	0	1	M-C6H11O8S	
Positive	DGDG		1	1									12	21	0	11	0	0	M-C12H21O11	
Positive	DGDG		1	0									12	25	1	11	0	0	M-C12H21O11NH4 / DAG	
Positive	DGDG		1	0									6	10	0	5	0	0	M-sugar	
Positive	DGDG		1	0									6	12	0	6	0	0	M-sugar-H2O	
Positive	MGDG		0	0					All				X	2X-2Y-1	0	1	0	0	FA	
Positive	SQDG		0	0					All				X	2X-2Y-1	0	1	0	0	FA	
Positive	DGDG		0	0					All				X	2X-2Y-1	0	1	0	0	FA	
Positive	MGDG		0	0					All				X+3	2X-2Y+5	0	3	0	0	[RCOO+58]	
Positive	SQDG		0	0					All				X+3	2X-2Y+5	0	3	0	0	[RCOO+58]	
Positive	DGDG		0	0					All				X+3	2X-2Y+5	0	3	0	0	[RCOO+58]	
Positive	MGDG		0	0					All				X+3	2X-2Y+3	0	2	0	0	[RCOO+58]-H2O	
Positive	SQDG		0	0					All				X+3	2X-2Y+3	0	2	0	0	[RCOO+58]-H2O	
Positive	DGDG		0	0					All				X+3	2X-2Y+3	0	2	0	0	[RCOO+58]-H2O	
Positive	DGTSA		0	0									7	14	1	2	0	0	C7H14O2N	
Positive	DGTSA		0	0									7	14	1	3	0	0	C7H16O3N	
Positive	DGTSA		0	0									10	18	1	3	0	0	C10H18O3N	
Positive	DGTSA		0	1									10	22	1	5	0	0	C10H22O5N	
Positive	DGTSA		0	0					All				X	2X-2Y-1	0	1	0	0	FA	
Positive	DGTSA		0	0					All				X+3	2X-2Y+5	0	3	0	0	[RCOO+58]	
Positive	DGTSA		1	0					All				X	2X-2Y-2	0	1	0	0	M-Ketene	
Positive	DGTSA		1	0					All				X	2X-2Y	0	2	0	0	M-FA	
Positive	DGTSA		1	0					All				X+1	2X-2Y	0	4	0	0	M-FA-CO2	
Positive	DGTSA		1	0					All				X+5	2X-2Y+13	1	2	0	0	M-FA-C5H13N	
Positive	DGTSA		0	0		2							X+3	2X-2Y+3	0	4	0	0	DAG	
Positive	anandamide		1	0									0	1	0	1	0	0	M-OH	
Positive	anandamide		1	0									0	2	0	1	0	0	M-H2O	
Positive	anandamide		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	anandamide		0	0					Standard				X	2X-2Y-3	0	0	0	0	FA-H2O	
Positive	carnitine		0	1									4	5	0	2	0	0	C4H5O2	
Positive	carnitine		1	0									3	9	1	0	0	0	M-C3H9N	
Positive	carnitine		0	0					Standard				X	2X-2Y-1	0	1	0	0	FA	
Positive	FAHFA		0	0					Standard				X	2X-2Y-1	0	2	0	0	FA	
Positive	FAHFA		0	0					Standard				X	2X-2Y+3	1	2	0	0	FA+NH3	
Positive	FAHFA		0	0					Ether				X	2X-2Y-1	0	2	0	0	FA	
Positive	FAHFA		0	0					Ether				X	2X-2Y+3	1	2	0	0	FA+NH3	
Negative	PC		1	1									3	6	0	2	0	0	M-(acetate + methyl)	
Negative	PC		1	0									7	16	1	5	1	0	M-C7H16O5NP	
Negative	PC		0	0					Standard				X	2X-2Y-1	0	2	0	0	FA	
Negative	PC		0	0					Standard				X+3	2X-2Y+6	0	7	1	0	LPA-H	
Negative	PC		0	0					Standard				X+3	2X-2Y+4	0	6	1	0	LPA-H2O-H	
Negative	PC		1	0	2				Standard				X	2X-2Y-2	0	1	0	0	M-Ketene	
Negative	PC		1	0	2				Standard				X	2X-2Y	0	2	0	0	M-FA	
Negative	PC		0	1					Hydroxy	20	4		20	31	0	3	0	0	HETE	
Negative	PC		0	0					Hydroxy	20	4		X+7	2X-2Y+15	1	7	1	0	loss of HETE	
Negative	PC		0	0					Hydroxy	20	4	5	5	7	0	3	0	0	5-HETE	
Negative	PC		0	0					Hydroxy	20	4	8	8	11	0	3	0	0	8-HETE	
Negative	PC		0	0					Hydroxy	20	4	9	9	11	0	3	0	0	9-HETE	
Negative	PC		0	0					Hydroxy	20	4	11	10	15	0	3	0	0	11-HETE	
Negative	PC		0	0					Hydroxy	20	4	12	11	15	0	3	0	0	12-HETE	
Negative	PC		0	0					Hydroxy	20	4	15	14	19	0	3	0	0	15-HETE	
Negative	PE		0	1									5	11	1	5	1	0	C5H11O5NP	
Negative	PE		0	0									5	13	1	6	1	0	C5H13O6NP	
Negative	PE		1	0									2	6	1	0	0	0	M-C2H6N	
Negative	PE		0	0									3	6	0	5	1	0	C3H6O5P	
Negative	PE		1	0									5	12	1	5	1	0	M-C5H12O5NP	
Negative	PE		0	0					Standard				X	2X-2Y-1	0	2	0	0	FA	
Negative	PE		0	0					Standard				X-1	2X-2Y-1	0	0	0	0	FA-CO2	
Negative	PE		0	0					Standard				X+3	2X-2Y+6	0	7	1	0	LPA-H	
Negative	PE		0	0					Standard				X+3	2X-2Y+4	0	6	1	0	LPA-H2O-H	
Negative	PE		1	0	2				Standard				X	2X-2Y-2	0	1	0	0	M-Ketene	
Negative	PE		1	0	2				Standard				X	2X-2Y	0	2	0	0	M-FA	
Negative	PE		0	0					Plasmalogen				X+3	2X-2Y+10	0	6	1	0	LPA(P-)	
Negative	PE		0	0					Plasmalogen				X+3	2X-2Y+8	0	5	1	0	LPA(P-)-H2O	
Negative	PE		0	0	2				Plasmalogen				X+5	2X-2Y+11	1	6	1	0	LPE(P-)	
Negative	PE		0	0	2				Plasmalogen				X+5	2X-2Y+9	1	5	1	0	LPE(P-)-H2O	
Negative	PE		0	0					Ether				X+3	2X-2Y+8	1	6	1	0	LPA(O-)	
Negative	PE		0	0					Ether				X+3	2X-2Y+6	1	5	1	0	LPA(O-)-H2O	
Negative	PE		0	0	2				Ether				X+5	2X-2Y+13	1	6	1	0	LPE(O-)	
Negative	PE		0	0	2				Ether				X+5	2X-2Y+11	1	5	1	0	LPE(O-)-H2O	
Negative	PE		0	1					Hydroxy	20	4		20	31	0	3	0	0	HETE	
Negative	PE		0	0					Hydroxy	20	4		X+5	2X-2Y+11	1	7	1	0	loss of HETE	
Negative	PE		0	0					Hydroxy	20	4	5	5	7	0	3	0	0	5-HETE	
Negative	PE		0	0					Hydroxy	20	4	8	8	11	0	3	0	0	8-HETE	
Negative	PE		0	0					Hydroxy	20	4	9	9	11	0	3	0	0	9-HETE	
Negative	PE		0	0					Hydroxy	20	4	11	10	15	0	3	0	0	11-HETE	
Negative	PE		0	0					Hydroxy	20	4	12	11	15	0	3	0	0	12-HETE	
Negative	PE		0	0					Hydroxy	20	4	15	14	19	0	3	0	0	15-HETE	
Negative	PI		0	1									6	10	0	8	1	0	C6H10O8P	
Negative	PI		0	0									3	6	0	5	1	0	C3H6O5P	
Negative	PI		0	0									9	18	0	11	1	0	C9H18O11P	
Negative	PI		0	0									9	16	0	10	1	0	C9H16O10P	
Negative	PI		0	0									6	8	0	7	1	0	IP-2H2O-H	
Negative	PI		0	0									0	0	0	3	1	0	PO3	
Negative	PI		1	0	> 1								6	12	0	6	0	0	M-sugar	
Negative	PI		1	0	> 1								9	17	0	10	1	0	M-C9H17O10P	
Negative	PI		0	0					Standard				X	2X-2Y-1	0	2	0	0	FA	
Negative	PI		0	0					Standard				X+3	2X-2Y+6	0	7	1	0	LPA-H	
Negative	PI		0	0	1				Standard				X+3	2X-2Y+4	0	6	1	0	LPA-H2O-H / M-sugar	
Negative	PI		0	0	> 1				Standard				X+3	2X-2Y+4	0	6	1	0	LPA-H2O-H	
Negative	PI		1	0	2				Standard				X	2X-2Y-2	0	1	0	0	M-Ketene	
Negative	PI		1	0	2				Standard				X	2X-2Y	0	2	0	0	M-FA	
Negative	PI		0	0					Plasmalogen				X+3	2X-2Y+6	0	6	1	0	LPA(P-)	
Negative	PI		0	0					Plasmalogen				X+3	2X-2Y+4	0	5	1	0	LPA(P-)-H2O	
Negative	PI		0	0	2				Plasmalogen				X+9	2X-2Y+16	0	11	1	0	LPI(P-)	
Negative	PI		0	0	2				Plasmalogen				X+9	2X-2Y+14	0	10	1	0	LPI(P-)-H2O	
Negative	PI		0	0					Ether				X+3	2X-2Y+8	0	6	1	0	LPA(O-)	
Negative	PI		0	0					Ether				X+3	2X-2Y+6	0	5	1	0	LPA(O-)-H2O	
Negative	PI		0	0	2				Ether				X+9	2X-2Y+18	0	11	1	0	LPI(O-)	
Negative	PI		0	0	2				Ether				X+9	2X-2Y+16	0	10	1	0	LPI(O-)-H2O	
Negative	PIP		0	1									6	11	0	11	2	0	C6H11O11P2	
Negative	PIP2		0	1									6	12	0	14	3	0	C6H12O14P3	
Negative	PIP3		0	1									6	14	0	17	4	0	C6H14O17P4	
Negative	PIP		1	0									0	2	0	1	0	0	M-H2O	
Negative	PIP2		1	0									0	2	0	1	0	0	M-H2O	
Negative	PIP3		1	0									0	2	0	1	0	0	M-H2O	
Negative	PIP		1	0									0	4	0	2	0	0	M-2(H2O)	
Negative	PIP2		1	0									0	4	0	2	0	0	M-2(H2O)	
Negative	PIP3		1	0									0	4	0	2	0	0	M-2(H2O)	
Negative	PIP		1	0									0	3	0	4	1	0	M-H3O4P	
Negative	PIP2		1	0									0	3	0	4	1	0	M-H3O4P	
Negative	PIP3		1	0									0	3	0	4	1	0	M-H3O4P	
Negative	PIP		1	0									0	1	0	3	1	0	M-HPO3	
Negative	PIP2		1	0									0	1	0	3	1	0	M-HPO3	
Negative	PIP3		1	0									0	1	0	3	1	0	M-HPO3	
Negative	PIP		0	0									6	13	0	12	2	0	IP2-H	
Negative	PIP2		0	0									6	13	0	12	2	0	IP2-H	
Negative	PIP3		0	0									6	13	0	12	2	0	IP2-H	
Negative	PIP		0	0									6	11	0	11	2	0	IP2-H2O-H	
Negative	PIP2		0	0									6	11	0	11	2	0	IP2-H2O-H	
Negative	PIP3		0	0									6	11	0	11	2	0	IP2-H2O-H	
Negative	PIP		0	0									6	9	0	10	2	0	IP2-2(H2O)-H	
Negative	PIP2		0	0									6	9	0	10	2	0	IP2-2(H2O)-H	
Negative	PIP3		0	0									6	9	0	10	2	0	IP2-2(H2O)-H	
Negative	PIP		0	0									6	10	0	8	1	0	IP-H2O-H	
Negative	PIP2		0	0									6	10	0	8	1	0	IP-H2O-H	
Negative	PIP3		0	0									6	10	0	8	1	0	IP-H2O-H	
Negative	PIP		0	0									6	8	0	7	1	0	IP-2(H2O)-H	
Negative	PIP2		0	0									6	8	0	7	1	0	IP-2(H2O)-H	
Negative	PIP3		0	0									6	8	0	7	1	0	IP-2(H2O)-H	
Negative	PIP		0	0									0	3	0	7	2	0	H3P2O7	
Negative	PIP2		0	0									0	3	0	7	2	0	H3P2O7	
Negative	PIP3		0	0									0	3	0	7	2	0	H3P2O7	
Negative	PIP		0	0									0	1	0	6	2	0	HP2O6	
Negative	PIP2		0	0									0	1	0	6	2	0	HP2O6	
Negative	PIP3		0	0									0	1	0	6	2	0	HP2O6	
Negative	PIP		0	0									3	6	0	5	1	0	C3H6O5P	
Negative	PIP2		0	0									3	6	0	5	1	0	C3H6O5P	
Negative	PIP3		0	0									3	6	0	5	1	0	C3H6O5P	
Negative	PIP2		0	0									6	14	0	15	3	0	IP3-H	
Negative	PIP3		0	0									6	14	0	15	3	0	IP3-H	
Negative	PIP2		0	0									6	12	0	14	3	0	IP3-H2O-H	
Negative	PIP3		0	0									6	12	0	14	3	0	IP3-H2O-H	
Negative	PIP2		0	0									6	10	0	13	3	0	IP3-2(H2O)-H	
Negative	PIP3		0	0									6	10	0	13	3	0	IP3-2(H2O)-H	
Negative	PIP2		0	0									6	6	0	6	1	0	IP-3(H2O)-H	
Negative	PIP3		0	0									6	6	0	6	1	0	IP-3(H2O)-H	
Negative	PIP3		0	0									6	16	0	18	4	0	IP4-H	
Negative	PIP3		0	0									6	14	0	17	4	0	IP4-H2O-H	
Negative	PIP3		0	0									6	12	0	16	4	0	IP4-2(H2O)-H	
Negative	PIP		0	0					Standard				X	2X-2Y-1	0	2	0	0	FA	
Negative	PIP2		0	0					Standard				X	2X-2Y-1	0	2	0	0	FA	
Negative	PIP3		0	0					Standard				X	2X-2Y-1	0	2	0	0	FA	
Negative	PIP		0	0					Standard				X-1	2X-2Y-1	0	0	0	0	FA-CO2	
Negative	PIP2		0	0					Standard				X-1	2X-2Y-1	0	0	0	0	FA-CO2	
Negative	PIP3		0	0					Standard				X-1	2X-2Y-1	0	0	0	0	FA-CO2	
Negative	PIP		0	0					Standard				X+3	2X-2Y+6	0	7	1	0	LPA-H	
Negative	PIP2		0	0					Standard				X+3	2X-2Y+6	0	7	1	0	LPA-H	
Negative	PIP3		0	0					Standard				X+3	2X-2Y+6	0	7	1	0	LPA-H	
Negative	PIP		0	0					Standard				X+3	2X-2Y+4	0	6	1	0	LPA-H2O-H	
Negative	PIP2		0	0					Standard				X+3	2X-2Y+4	0	6	1	0	LPA-H2O-H	
Negative	PIP3		0	0					Standard				X+3	2X-2Y+4	0	6	1	0	LPA-H2O-H	
Negative	PIP		0	0					Standard				X+9	2X-2Y+15	0	14	2	0	LPIP-H2O-H	
Negative	PIP2		0	0					Standard				X+9	2X-2Y+15	0	14	2	0	LPIP-H2O-H	
Negative	PIP3		0	0					Standard				X+9	2X-2Y+15	0	14	2	0	LPIP-H2O-H	
Negative	PIP		0	0					Standard				X+9	2X-2Y+13	0	13	2	0	LPIP-2H2O-H	
Negative	PIP2		0	0					Standard				X+9	2X-2Y+13	0	13	2	0	LPIP-2H2O-H	
Negative	PIP3		0	0					Standard				X+9	2X-2Y+13	0	13	2	0	LPIP-2H2O-H	
Negative	PIP		1	0					Standard				X	2X-2Y-2	0	1	0	0	M-Ketene	
Negative	PIP2		1	0					Standard				X	2X-2Y-2	0	1	0	0	M-Ketene	
Negative	PIP3		1	0					Standard				X	2X-2Y-2	0	1	0	0	M-Ketene	
Negative	PIP		1	0					Standard				X	2X-2Y	0	2	0	0	M-FA	
Negative	PIP2		1	0					Standard				X	2X-2Y	0	2	0	0	M-FA	
Negative	PIP3		1	0					Standard				X	2X-2Y	0	2	0	0	M-FA	
Negative	PIP		0	0					Standard				X+9	2X-2Y+17	0	15	2	0	LPI-H	
Negative	PIP3		0	0					Standard				X+9	2X-2Y+16	0	17	3	0	LPIP2-H2O-H	
Negative	PIP3		0	0					Standard				X+9	2X-2Y+14	0	16	3	0	LPIP2-2H2O-H	
Negative	PIP		0	0	2								X+3	2X-2Y+4	0	8	1	0	PA	1,2
Negative	PIP2		0	0	2								X+3	2X-2Y+4	0	8	1	0	PA	1,2
Negative	PIP3		0	0	2								X+3	2X-2Y+4	0	8	1	0	PA	1,2
Negative	PG		0	0									6	10	0	6	1	0	C6H10O6P	
Negative	PG		0	0									3	6	0	5	1	0	C3H6O5P	
Negative	PG		1	0									3	6	0	2	0	0	M-C3H6O2	
Negative	PG		0	0									6	12	0	7	1	0	C6H12O7P	
Negative	PG		0	0					Standard				X	2X-2Y-1	0	2	0	0	FA	
Negative	PG		0	0					Standard				X-1	2X-2Y-1	0	0	0	0	FA-CO2	
Negative	PG		0	0					Standard				X+3	2X-2Y+6	0	7	1	0	LPA-H	
Negative	PG		0	0					Standard				X+3	2X-2Y+4	0	6	1	0	LPA-H2O-H	
Negative	PG		1	0	2				Standard				X	2X-2Y-2	0	1	0	0	M-Ketene	
Negative	PG		1	0	2				Standard				X	2X-2Y	0	2	0	0	M-FA	
Negative	PG		0	0					Ether				X+3	2X-2Y+8	0	6	1	0	LPA(O-)	
Negative	PG		0	0					Ether				X+3	2X-2Y+6	0	5	1	0	LPA(O-)-H2O	
Negative	PG		0	0	2				Ether				X	2X-2Y-1	0	2	0	0	FA	
Negative	PG		0	0	2				Ether				X-1	2X-2Y-1	0	0	0	0	FA-CO2	
Negative	PG		0	0	2				Ether				X+6	2X-2Y+14	0	8	1	0	LPG(O-)	
Negative	PG		0	0	2				Ether				X+6	2X-2Y+12	0	7	1	0	LPG(O-)-H2O	
Negative	PG		0	0					Plasmalogen				X+3	2X-2Y+6	0	6	1	0	LPA(P-)	
Negative	PG		0	0					Plasmalogen				X+3	2X-2Y+4	0	5	1	0	LPA(P-)-H2O	
Negative	PG		0	0	2				Plasmalogen				X	2X-2Y-1	0	2	0	0	FA	
Negative	PG		0	0	2				Plasmalogen				X-1	2X-2Y-1	0	0	0	0	FA-CO2	
Negative	PG		0	0	2				Plasmalogen				X+6	2X-2Y+12	0	8	1	0	LPG(P-)	
Negative	PG		0	0	2				Plasmalogen				X+6	2X-2Y+10	0	7	1	0	LPG(P-)-H2O	
Negative	PA		0	0									3	6	0	5	1	0	C3H6O5P	
Negative	PA		0	0									0	2	0	4	1	0	PO4H2	
Negative	PA		0	0									0	0	0	3	1	0	PO3	
Negative	PA		0	0									3	8	0	6	1	0	C3H8O6P	
Negative	PA		0	0					Standard				X	2X-2Y-1	0	2	0	0	FA	
Negative	PA		0	0					Standard				X+3	2X-2Y+6	0	7	1	0	LPA-H	
Negative	PA		0	0					Standard				X+3	2X-2Y+4	0	6	1	0	LPA-H2O-H	
Negative	PA		0	0					Ether				X+3	2X-2Y+8	0	6	1	0	LPA(O-)	
Negative	PA		0	0					Ether				X+3	2X-2Y+6	0	5	1	0	LPA(O-)-H2O	
Negative	PA		0	0					Plasmalogen				X+3	2X-2Y+6	0	6	1	0	LPA(P-)	
Negative	PA		0	0					Plasmalogen				X+3	2X-2Y+4	0	5	1	0	LPA(P-)-H2O	
Negative	PS		1	1									3	5	1	2	0	0	M-C3H5O2N	
Negative	PS		0	0									3	6	0	5	1	0	C3H6O5P	
Negative	PS		0	0									3	8	0	6	1	0	C3H8O6P	
Negative	PS		0	0					Standard				X	2X-2Y-1	0	2	0	0	FA	
Negative	PS		0	0	1				Standard				X+3	2X-2Y+4	0	6	1	0	LPA-H2O-H	
Negative	PS		1	0	2				Standard				X+3	2X-2Y+3	1	3	0	0	M-Ketene	
Negative	PS		1	0	2				Standard				X+3	2X-2Y+5	1	4	0	0	M-FA	
Negative	PS		0	0					Plasmalogen				X+3	2X-2Y+6	0	6	1	0	LPA(P-)	
Negative	PS		0	0					Plasmalogen				X+3	2X-2Y+4	0	5	1	0	LPA(P-)-H2O	
